truck_id,route_id,departure_date,estimated_arrival,delay
27828495,R-a5085bff,2019-02-15 07:00:00,2019-02-16 00:02:24.000000000,1
10509722,R-7ac39732,2019-02-15 07:00:00,2019-02-15 23:32:24.000000000,1
28006103,R-8d2c0e4f,2019-02-15 07:00:00,2019-02-15 17:24:36.000000000,0
10455714,R-76fc375e,2019-02-15 07:00:00,2019-02-16 03:22:48.000000000,1
13792231,R-8514fd9a,2019-02-15 07:00:00,2019-02-15 20:07:48.000000000,0
79515526,R-a5d2c5e7,2019-02-15 07:00:00,2019-02-16 04:18:36.000000000,1
16654459,R-48c8a68b,2019-02-15 07:00:00,2019-02-16 03:23:24.000000000,1
24763016,R-4b2be088,2019-02-15 07:00:00,2019-02-15 20:49:48.000000000,0
61984883,R-c6a07410,2019-02-15 07:00:00,2019-02-16 03:48:36.000000000,1
30137411,R-7ce7768c,2019-02-15 07:00:00,2019-02-15 22:49:48.000000000,0
94792980,R-46ed5368,2019-02-15 07:00:00,2019-02-16 06:07:48.000000000,1
30973015,R-7738be4f,2019-02-15 07:00:00,2019-02-16 03:45:00.000000000,1
23496767,R-ff0ca7ba,2019-02-15 07:00:00,2019-02-15 15:23:24.000000000,0
14407628,R-34142a85,2019-02-15 07:00:00,2019-02-16 04:49:48.000000000,1
95491489,R-0f83fcfd,2019-02-15 07:00:00,2019-02-15 21:28:12.000000000,0
42302347,R-25623b63,2019-02-15 07:00:00,2019-02-16 00:52:48.000000000,1
26768431,R-d1a6a43c,2019-02-15 07:00:00,2019-02-16 04:20:24.000000000,1
30977437,R-ce329acd,2019-02-15 07:00:00,2019-02-15 22:48:36.000000000,1
20212074,R-74009ff3,2019-02-15 07:00:00,2019-02-15 16:33:36.000000000,0
12298240,R-d05bdb8d,2019-02-15 07:00:00,2019-02-16 03:14:24.000000000,1
28641239,R-ad9044ec,2019-02-15 07:00:00,2019-02-16 02:57:36.000000000,1
24681381,R-c1693784,2019-02-15 07:00:00,2019-02-15 07:49:48.000000000,0
84586269,R-aebd378e,2019-02-15 07:00:00,2019-02-15 22:15:00.000000000,0
28524845,R-ecc7c81d,2019-02-15 07:00:00,2019-02-16 02:16:48.000000000,1
14688558,R-4d24f472,2019-02-15 07:00:00,2019-02-15 22:06:36.000000000,0
78446029,R-3526206b,2019-02-15 07:00:00,2019-02-15 15:54:36.000000000,0
49158022,R-c90e11b7,2019-02-15 07:00:00,2019-02-15 21:21:00.000000000,0
14316933,R-97858aa8,2019-02-15 07:00:00,2019-02-15 16:33:36.000000000,0
31874571,R-48ee4120,2019-02-15 07:00:00,2019-02-16 02:36:36.000000000,0
28678505,R-825a9519,2019-02-15 07:00:00,2019-02-15 13:59:24.000000000,0
73474297,R-2ec89c60,2019-02-15 07:00:00,2019-02-15 16:18:00.000000000,1
24806622,R-599bf80b,2019-02-15 07:00:00,2019-02-16 00:10:12.000000000,1
50812426,R-f154d2c0,2019-02-15 07:00:00,2019-02-15 22:48:36.000000000,1
84718593,R-ab336987,2019-02-15 07:00:00,2019-02-16 00:01:48.000000000,1
22695998,R-0ecac6ac,2019-02-15 07:00:00,2019-02-15 19:37:12.000000000,0
22913195,R-c63f84b7,2019-02-15 07:00:00,2019-02-15 15:37:12.000000000,0
10946672,R-3052b877,2019-02-15 07:00:00,2019-02-15 14:37:12.000000000,0
21001184,R-7ade0c44,2019-02-15 07:00:00,2019-02-15 20:42:36.000000000,0
22112064,R-ec63e5e9,2019-02-15 07:00:00,2019-02-15 15:34:47.999999999,0
